car_age_years,km_driven,engine_cc,owners,price_lakh
10.0,109043.0,1183.0,2.0,4.0
14.0,157310.0,1292.0,1.0,2.5
11.0,66320.0,2915.0,1.0,9.1
3.0,197812.0,2773.0,2.0,6.8
8.0,135369.0,1458.0,2.0,7.9
8.0,8891.0,1060.0,1.0,9.0
15.0,188248.0,1145.0,3.0,-0.3
9.0,179994.0,1948.0,3.0,5.6
4.0,40514.0,1897.0,2.0,11.8
1.0,40589.0,2266.0,2.0,13.8
14.0,17943.0,919.0,3.0,3.8
13.0,111115.0,1747.0,2.0,1.8
4.0,68926.0,1704.0,3.0,8.9
6.0,171743.0,1319.0,1.0,9.9
9.0,81746.0,2712.0,3.0,6.1
2.0,189788.0,2848.0,2.0,8.1
5.0,23917.0,2704.0,1.0,12.8
14.0,148308.0,2897.0,2.0,6.3
15.0,43737.0,2717.0,3.0,4.2
12.0,72235.0,2905.0,2.0,5.1
12.0,47988.0,831.0,1.0,3.5
6.0,181730.0,1213.0,2.0,2.9
2.0,60498.0,2229.0,1.0,11.3
9.0,174194.0,2958.0,,5.4
10.0,60001.0,1512.0,1.0,5.9
11.0,76286.0,1531.0,2.0,4.6
14.0,46254.0,1556.0,1.0,4.1
,8093.0,2091.0,3.0,9.3
8.0,190705.0,2331.0,3.0,4.9
0.0,166415.0,2135.0,3.0,11.9
6.0,85129.0,2094.0,2.0,8.5
6.0,39141.0,2731.0,1.0,12.1
9.0,100211.0,2287.0,3.0,9.4
11.0,171655.0,1324.0,1.0,0.3
15.0,112006.0,2703.0,1.0,4.0
10.0,97393.0,2976.0,1.0,6.1
15.0,16652.0,2755.0,2.0,6.4
11.0,82113.0,1350.0,1.0,4.9
3.0,175195.0,2739.0,1.0,3.5
2.0,18799.0,2175.0,2.0,9.1
12.0,199629.0,1715.0,3.0,0.3
15.0,58424.0,2178.0,1.0,3.0
5.0,38733.0,1454.0,3.0,8.2
15.0,96542.0,2418.0,2.0,4.4
3.0,132776.0,925.0,3.0,6.3
12.0,177341.0,1195.0,1.0,-0.3
9.0,183819.0,2145.0,1.0,4.4
5.0,170575.0,866.0,1.0,4.8
11.0,130600.0,2582.0,2.0,5.5
4.0,29675.0,2179.0,1.0,11.5
6.0,148709.0,968.0,2.0,5.1
8.0,113372.0,2280.0,3.0,5.2
8.0,191483.0,2222.0,1.0,2.5
7.0,26356.0,936.0,1.0,7.5
10.0,154192.0,2880.0,2.0,8.2
10.0,134312.0,2738.0,1.0,3.7
13.0,198246.0,1489.0,2.0,-0.7
6.0,169817.0,1442.0,1.0,3.6
13.0,136400.0,2369.0,2.0,3.9
3.0,40122.0,2932.0,3.0,8.9
6.0,102606.0,2444.0,3.0,5.5
6.0,187734.0,919.0,1.0,5.4
10.0,68539.0,1193.0,3.0,5.2
1.0,70745.0,2484.0,1.0,11.4
10.0,43512.0,2311.0,2.0,7.3
5.0,92607.0,2949.0,1.0,9.4
1.0,51582.0,2418.0,2.0,11.8
14.0,170125.0,1412.0,2.0,1.7
2.0,38226.0,2394.0,3.0,11.7
12.0,73829.0,2068.0,2.0,5.9
3.0,54575.0,1385.0,2.0,9.7
13.0,26169.0,2644.0,1.0,10.4
0.0,62095.0,2066.0,1.0,11.2
7.0,67412.0,1563.0,2.0,8.3
0.0,163824.0,1378.0,3.0,5.7
0.0,71445.0,1000.0,3.0,10.1
12.0,152599.0,2105.0,2.0,3.7
5.0,23167.0,2498.0,3.0,11.3
9.0,147802.0,1944.0,3.0,2.9
12.0,25409.0,1946.0,2.0,8.4
3.0,94833.0,2244.0,,10.5
1.0,72179.0,1425.0,3.0,8.7
11.0,119012.0,2627.0,2.0,6.3
3.0,80343.0,896.0,2.0,9.5
0.0,5923.0,1771.0,3.0,11.1
15.0,72299.0,1631.0,3.0,6.8
3.0,184368.0,2287.0,2.0,9.4
14.0,108182.0,2541.0,2.0,3.0
3.0,154598.0,987.0,2.0,5.9
8.0,85725.0,2750.0,3.0,7.8
7.0,188505.0,2103.0,2.0,4.0
14.0,141456.0,2264.0,2.0,1.7
13.0,131864.0,1881.0,1.0,2.6
1.0,132275.0,2472.0,1.0,9.9
2.0,93744.0,2435.0,3.0,9.3
9.0,114792.0,2310.0,3.0,3.6
12.0,63228.0,2414.0,1.0,8.0
7.0,63775.0,1539.0,1.0,5.6
4.0,48540.0,2008.0,2.0,11.2
4.0,193026.0,1630.0,3.0,8.2
3.0,43541.0,1417.0,3.0,11.7
7.0,72002.0,2548.0,2.0,6.5
10.0,102962.0,2654.0,2.0,8.2
13.0,55459.0,2846.0,2.0,4.2
6.0,60221.0,2310.0,2.0,10.4
7.0,153327.0,1530.0,3.0,3.4
7.0,150522.0,814.0,3.0,1.7
10.0,99733.0,2689.0,2.0,6.5
3.0,65220.0,2566.0,3.0,7.7
